cgpa,python,communication,projects,internships,interest,career
9.5,7,8,2,4,Web,Web Developer
7.61,9,6,7,5,Web,Web Developer
7.26,9,5,6,5,Cyber,Cyber Security
8.93,1,3,8,5,Cloud,Cloud Engineer
7.35,10,8,3,3,Web,Web Developer
8.45,4,10,3,3,Data Science,Data Scientist
9.89,6,9,0,3,Web,Web Developer
6.03,3,4,8,3,Cloud,Cloud Engineer
6.2,6,3,9,0,Cyber,Cyber Security
9.15,6,7,6,4,Data Science,Data Scientist
5.66,7,7,0,2,Web,Web Developer
5.88,9,8,9,1,Data Science,Data Scientist
9.73,4,3,5,2,AI,AI Engineer
8.14,2,2,3,3,Cyber,Cyber Security
8.63,3,5,2,3,Cloud,Cloud Engineer
6.09,9,10,9,0,Web,Web Developer
6.02,3,8,7,2,Cyber,Cyber Security
5.72,8,2,2,3,Data Science,Data Scientist
7.3,6,6,0,5,AI,AI Engineer
6.47,5,9,7,2,Cloud,Cloud Engineer
6.71,8,3,0,0,Data Science,Data Scientist
9.68,3,7,9,4,Web,Web Developer
7.31,8,4,7,0,AI,AI Engineer
9.97,6,7,1,5,AI,AI Engineer
6.38,4,3,0,4,AI,AI Engineer
6.01,6,1,2,5,Cloud,Cloud Engineer
8.16,1,9,9,1,AI,AI Engineer
9.96,9,3,7,4,Cyber,Cyber Security
9.73,5,5,10,5,Cloud,Cloud Engineer
8.52,3,5,9,2,Cyber,Cyber Security
6.61,7,10,8,2,AI,AI Engineer
7.18,5,4,10,3,Cloud,Cloud Engineer
6.15,8,7,9,4,Web,Web Developer
5.68,10,3,7,0,Cyber,Cyber Security
8.84,1,7,1,1,Cloud,Cloud Engineer
7.78,6,6,7,3,Data Science,Data Scientist
7.93,7,3,3,0,Web,Web Developer
6.43,4,7,5,3,Cloud,Cloud Engineer
9.02,6,2,3,2,Web,Web Developer
8.6,10,5,3,4,Cloud,Cloud Engineer
9.09,2,6,3,4,Cloud,Cloud Engineer
5.96,5,2,4,4,Data Science,Data Scientist
9.56,3,4,10,3,Cyber,Cyber Security
6.82,3,1,10,5,AI,AI Engineer
9.13,9,4,4,4,Cyber,Cyber Security
7.96,6,1,2,4,Web,Web Developer
7.07,6,9,4,4,Web,Web Developer
8.01,6,3,2,3,Web,Web Developer
7.56,2,5,6,2,Cyber,Cyber Security
9.78,1,10,7,0,Cloud,Cloud Engineer
6.01,8,5,6,3,Data Science,Data Scientist
5.99,10,9,9,2,AI,AI Engineer
9.56,5,7,5,2,Cloud,Cloud Engineer
6.51,6,10,2,5,Web,Web Developer
6.49,7,4,3,5,AI,AI Engineer
8.13,5,2,5,0,Web,Web Developer
9.58,3,7,7,4,AI,AI Engineer
7.62,1,6,0,1,Data Science,Data Scientist
7.42,10,5,7,0,Cloud,Cloud Engineer
5.63,1,3,1,5,AI,AI Engineer
9.19,3,7,1,1,Web,Web Developer
7.86,4,6,0,5,AI,AI Engineer
7.63,3,1,6,0,AI,AI Engineer
7.28,1,8,5,0,Cyber,Cyber Security
8.28,8,8,0,0,Cloud,Cloud Engineer
6.97,7,1,9,4,Cyber,Cyber Security
6.89,7,6,1,0,Cyber,Cyber Security
9.76,6,9,6,4,Cyber,Cyber Security
7.55,6,3,0,0,Cyber,Cyber Security
7.51,1,6,3,5,Cloud,Cloud Engineer
9.72,10,6,1,0,Cyber,Cyber Security
8.88,1,9,2,4,Data Science,Data Scientist
6.41,3,6,10,5,Web,Web Developer
8.75,5,5,9,2,Data Science,Data Scientist
7.47,7,8,5,1,AI,AI Engineer
8.36,2,4,0,2,AI,AI Engineer
8.58,1,7,4,2,AI,AI Engineer
6.59,9,10,3,1,Data Science,Data Scientist
6.14,4,2,5,0,AI,AI Engineer
5.8,9,2,10,3,Web,Web Developer
8.95,3,6,5,2,Web,Web Developer
5.79,6,9,6,4,Web,Web Developer
6.62,7,4,5,3,AI,AI Engineer
7.29,9,5,5,4,Cyber,Cyber Security
6.4,3,5,9,3,Data Science,Data Scientist
9.0,4,6,2,0,Data Science,Data Scientist
5.89,2,6,9,1,AI,AI Engineer
5.69,6,2,7,0,AI,AI Engineer
8.59,6,8,4,1,Data Science,Data Scientist
5.96,8,2,1,3,Data Science,Data Scientist
5.81,3,10,1,2,Cloud,Cloud Engineer
9.61,4,4,7,2,AI,AI Engineer
7.4,7,5,2,4,AI,AI Engineer
9.09,4,1,5,2,Cloud,Cloud Engineer
9.09,3,5,2,0,AI,AI Engineer
5.76,9,1,5,3,Cyber,Cyber Security
7.66,5,7,5,1,Cyber,Cyber Security
5.59,4,9,6,2,Cloud,Cloud Engineer
7.8,4,1,6,3,Web,Web Developer
5.72,5,4,2,3,Web,Web Developer
8.17,7,3,3,1,Data Science,Data Scientist
6.71,2,4,6,4,Cyber,Cyber Security
8.18,9,3,3,3,Web,Web Developer
5.68,4,1,8,5,AI,AI Engineer
6.28,3,9,10,3,Cloud,Cloud Engineer
9.56,6,4,3,2,Data Science,Data Scientist
8.29,10,10,5,1,Web,Web Developer
7.02,7,5,6,3,AI,AI Engineer
9.85,5,10,9,1,AI,AI Engineer
7.6,6,6,5,0,Cloud,Cloud Engineer
5.65,4,3,6,5,Web,Web Developer
9.11,9,5,0,1,Web,Web Developer
8.23,1,9,9,4,AI,AI Engineer
7.06,9,7,7,2,AI,AI Engineer
9.37,8,6,4,5,Web,Web Developer
8.64,6,8,2,2,Web,Web Developer
8.13,5,4,1,1,Web,Web Developer
8.87,10,9,9,4,Data Science,Data Scientist
8.07,5,2,4,5,Cloud,Cloud Engineer
5.66,8,2,3,5,AI,AI Engineer
5.76,3,10,8,1,AI,AI Engineer
6.54,5,7,9,5,Web,Web Developer
9.83,4,5,2,5,Cloud,Cloud Engineer
5.65,1,3,2,0,Cloud,Cloud Engineer
7.68,4,1,7,2,AI,AI Engineer
8.56,5,4,9,4,AI,AI Engineer
7.78,5,10,9,2,Cyber,Cyber Security
6.82,10,2,6,2,Cyber,Cyber Security
5.75,7,7,2,2,Cyber,Cyber Security
9.6,5,5,3,1,AI,AI Engineer
9.74,8,1,3,5,Cyber,Cyber Security
9.48,8,6,3,0,AI,AI Engineer
9.46,10,3,5,3,Web,Web Developer
6.42,1,9,10,3,AI,AI Engineer
7.65,4,6,6,5,AI,AI Engineer
7.02,4,4,1,4,Data Science,Data Scientist
8.0,6,9,4,0,Cyber,Cyber Security
8.16,1,5,9,5,Data Science,Data Scientist
6.11,8,1,9,4,Web,Web Developer
8.82,4,9,9,0,AI,AI Engineer
7.53,6,9,6,2,Web,Web Developer
7.57,4,4,2,4,Cyber,Cyber Security
9.87,8,1,8,4,AI,AI Engineer
5.94,10,10,1,4,Web,Web Developer
8.42,7,7,3,4,Cyber,Cyber Security
6.99,7,5,2,0,Cyber,Cyber Security
8.31,3,4,2,1,AI,AI Engineer
7.13,10,5,5,0,Cloud,Cloud Engineer
5.53,10,7,1,0,Cyber,Cyber Security
8.62,9,8,8,3,Data Science,Data Scientist
9.76,3,5,8,4,AI,AI Engineer
6.83,4,8,0,0,Web,Web Developer
6.69,8,8,2,2,Data Science,Data Scientist
9.99,9,4,6,0,Data Science,Data Scientist
6.1,5,1,6,1,Web,Web Developer
8.82,5,10,4,3,Cyber,Cyber Security
7.4,1,7,6,1,Web,Web Developer
7.95,4,2,6,4,Web,Web Developer
6.21,9,4,6,3,AI,AI Engineer
7.97,8,9,3,5,Cloud,Cloud Engineer
8.61,2,7,9,1,Web,Web Developer
5.77,5,4,4,3,AI,AI Engineer
9.69,9,1,10,5,Cloud,Cloud Engineer
8.04,9,2,8,0,Web,Web Developer
8.96,7,1,9,5,Cyber,Cyber Security
9.28,3,4,8,2,Cloud,Cloud Engineer
7.32,9,10,8,4,Cyber,Cyber Security
8.83,5,6,9,0,Cyber,Cyber Security
7.56,1,8,4,2,AI,AI Engineer
9.11,3,4,9,4,Cyber,Cyber Security
6.06,10,4,0,4,Cyber,Cyber Security
5.89,8,4,0,4,Web,Web Developer
8.45,5,5,10,2,Data Science,Data Scientist
6.45,7,4,3,0,Data Science,Data Scientist
6.26,4,4,1,0,Cyber,Cyber Security
6.87,5,5,10,1,Cloud,Cloud Engineer
6.45,8,7,9,5,Cloud,Cloud Engineer
9.03,1,1,0,1,Cloud,Cloud Engineer
8.67,9,2,6,5,Cloud,Cloud Engineer
7.26,2,8,8,5,AI,AI Engineer
5.88,5,9,9,3,Data Science,Data Scientist
7.44,2,1,2,3,AI,AI Engineer
9.04,3,8,6,3,Data Science,Data Scientist
7.21,10,3,8,2,Data Science,Data Scientist
6.14,7,10,1,3,Cyber,Cyber Security
7.33,9,1,4,5,AI,AI Engineer
9.14,8,6,10,3,Cloud,Cloud Engineer
9.93,9,3,10,5,Cloud,Cloud Engineer
5.64,1,1,8,2,Cloud,Cloud Engineer
8.73,2,1,8,5,Data Science,Data Scientist
6.7,4,2,8,3,Cyber,Cyber Security
8.4,7,2,0,2,Data Science,Data Scientist
5.66,4,8,3,0,Data Science,Data Scientist
6.62,8,10,3,1,Web,Web Developer
9.95,5,8,10,5,Web,Web Developer
6.67,6,4,10,1,Cloud,Cloud Engineer
9.27,3,6,7,1,Cloud,Cloud Engineer
5.85,2,6,2,5,AI,AI Engineer
5.59,10,9,10,2,Data Science,Data Scientist
5.59,3,8,1,3,Cyber,Cyber Security
7.67,4,8,6,5,Data Science,Data Scientist
7.47,6,6,5,2,Cyber,Cyber Security
8.98,2,4,8,5,Cloud,Cloud Engineer
8.77,3,9,3,2,AI,AI Engineer
8.36,2,1,3,0,Data Science,Data Scientist
6.04,9,7,8,1,Web,Web Developer
6.55,5,6,1,2,Cyber,Cyber Security
6.1,3,7,10,0,AI,AI Engineer
6.65,10,5,6,5,Cloud,Cloud Engineer
9.69,8,8,2,0,Cyber,Cyber Security
9.13,1,1,4,5,Web,Web Developer
8.52,4,8,4,2,AI,AI Engineer
9.86,2,3,7,2,Cloud,Cloud Engineer
9.31,4,2,7,5,Cyber,Cyber Security
9.66,9,9,3,1,Cyber,Cyber Security
8.57,9,4,4,3,Cyber,Cyber Security
7.14,7,9,9,3,Cyber,Cyber Security
7.87,5,6,8,2,Cloud,Cloud Engineer
6.8,10,4,8,5,Web,Web Developer
9.03,5,1,7,5,Data Science,Data Scientist
8.06,6,6,2,4,Data Science,Data Scientist
9.3,2,5,0,4,Web,Web Developer
5.67,6,8,2,4,Cyber,Cyber Security
7.27,10,9,7,2,AI,AI Engineer
6.99,3,10,4,3,Data Science,Data Scientist
9.79,5,2,4,2,Data Science,Data Scientist
6.08,4,7,0,1,Data Science,Data Scientist
6.61,2,2,4,5,Cloud,Cloud Engineer
7.48,9,1,9,5,Web,Web Developer
7.84,5,3,2,1,Data Science,Data Scientist
7.64,9,3,6,2,Data Science,Data Scientist
5.92,4,3,5,5,AI,AI Engineer
9.88,2,2,2,3,Cloud,Cloud Engineer
7.04,7,6,3,1,Web,Web Developer
9.52,5,2,8,3,Data Science,Data Scientist
8.38,3,4,2,0,AI,AI Engineer
7.17,8,7,5,1,Web,Web Developer
7.27,5,6,6,4,Cyber,Cyber Security
6.67,6,1,3,3,Web,Web Developer
8.05,2,6,1,2,Data Science,Data Scientist
6.74,10,10,9,1,Web,Web Developer
8.57,3,3,8,3,Cyber,Cyber Security
5.69,8,8,4,5,Cloud,Cloud Engineer
8.16,6,8,0,0,Cloud,Cloud Engineer
5.95,6,1,9,5,AI,AI Engineer
9.03,8,5,1,3,Web,Web Developer
9.04,7,9,1,2,Cloud,Cloud Engineer
9.64,4,6,3,0,Web,Web Developer
7.75,10,6,0,1,Cloud,Cloud Engineer
8.93,2,4,9,3,Data Science,Data Scientist
5.64,8,5,6,0,Web,Web Developer
9.75,1,2,1,0,Cloud,Cloud Engineer
7.36,9,7,5,3,AI,AI Engineer
7.55,8,8,4,1,AI,AI Engineer
5.63,1,9,7,5,Data Science,Data Scientist
7.48,2,3,2,1,AI,AI Engineer
9.1,7,3,7,5,Cloud,Cloud Engineer
7.51,6,4,3,3,Cyber,Cyber Security
7.44,9,9,8,0,Web,Web Developer
8.84,8,10,7,2,AI,AI Engineer
7.85,6,9,6,5,Web,Web Developer
6.95,7,2,10,2,Web,Web Developer
6.52,8,9,4,2,Cloud,Cloud Engineer
9.41,6,2,3,1,Data Science,Data Scientist
9.68,6,4,5,3,Web,Web Developer
8.76,2,2,2,5,Cloud,Cloud Engineer
7.63,2,7,0,5,Cyber,Cyber Security
5.89,1,10,1,3,Web,Web Developer
6.38,2,3,5,3,Web,Web Developer
7.06,10,6,1,2,Cyber,Cyber Security
6.95,9,3,0,4,AI,AI Engineer
9.56,10,6,0,3,Web,Web Developer
8.99,3,8,9,0,Web,Web Developer
7.78,1,5,2,2,Web,Web Developer
6.86,3,7,1,4,Data Science,Data Scientist
9.55,2,3,2,1,AI,AI Engineer
8.79,1,3,7,5,Web,Web Developer
9.43,3,6,3,2,Cyber,Cyber Security
8.13,6,1,3,1,Cloud,Cloud Engineer
7.04,8,6,1,1,AI,AI Engineer
6.35,1,6,7,5,Cyber,Cyber Security
6.59,9,9,4,1,Web,Web Developer
5.62,2,6,2,3,Cloud,Cloud Engineer
5.81,9,3,5,2,Data Science,Data Scientist
8.83,3,2,10,3,Cyber,Cyber Security
6.91,5,1,0,2,Cloud,Cloud Engineer
7.34,3,10,4,5,Cloud,Cloud Engineer
9.55,7,3,6,4,Web,Web Developer
7.41,9,5,10,0,Cyber,Cyber Security
5.76,7,9,7,5,Web,Web Developer
6.15,3,1,8,5,AI,AI Engineer
6.79,8,9,9,3,Web,Web Developer
7.79,8,9,8,0,AI,AI Engineer
9.57,6,10,10,5,Data Science,Data Scientist
7.52,1,4,8,1,AI,AI Engineer
6.55,6,8,3,0,Cloud,Cloud Engineer
9.01,2,8,4,5,Cyber,Cyber Security
6.72,10,7,6,3,Cloud,Cloud Engineer
8.68,8,7,0,0,Cloud,Cloud Engineer
7.88,6,8,3,5,Data Science,Data Scientist
8.36,2,3,5,5,Cyber,Cyber Security
6.46,2,3,2,4,Data Science,Data Scientist
5.73,9,6,2,4,Data Science,Data Scientist
9.98,7,4,0,4,AI,AI Engineer
8.62,9,5,9,5,Cyber,Cyber Security
8.18,2,10,0,4,Cyber,Cyber Security
6.87,5,2,10,4,AI,AI Engineer
7.52,1,10,4,2,Web,Web Developer
7.3,4,6,10,3,Data Science,Data Scientist
6.54,3,5,8,3,Data Science,Data Scientist
5.83,9,6,5,2,Data Science,Data Scientist
8.81,1,8,1,0,Cyber,Cyber Security
7.08,6,1,5,2,Cyber,Cyber Security
9.03,6,1,9,1,Cyber,Cyber Security
6.79,5,4,4,3,Web,Web Developer
8.83,4,1,7,4,Web,Web Developer
5.85,10,3,1,3,Cyber,Cyber Security
5.62,7,8,0,0,Cloud,Cloud Engineer
8.85,1,3,9,5,Cyber,Cyber Security
5.9,2,9,4,2,Cyber,Cyber Security
6.77,7,4,8,1,Cyber,Cyber Security
7.13,7,5,1,0,Web,Web Developer
9.32,9,1,6,3,Cyber,Cyber Security
9.1,8,1,10,2,AI,AI Engineer
6.76,2,9,9,1,Web,Web Developer
7.84,7,7,10,2,Cyber,Cyber Security
7.22,1,8,1,4,AI,AI Engineer
6.77,2,8,0,3,AI,AI Engineer
6.8,6,6,1,3,AI,AI Engineer
7.09,2,5,2,1,Data Science,Data Scientist
7.9,3,10,10,5,Cyber,Cyber Security
6.89,8,6,3,1,Cloud,Cloud Engineer
7.79,3,7,8,3,Cloud,Cloud Engineer
7.3,9,4,8,5,Data Science,Data Scientist
6.89,3,1,0,2,Cyber,Cyber Security
5.71,10,1,1,1,AI,AI Engineer
8.01,9,3,7,5,Data Science,Data Scientist
7.08,8,3,5,3,Web,Web Developer
8.47,8,7,4,4,Data Science,Data Scientist
9.76,9,1,1,2,Web,Web Developer
6.57,5,5,7,3,Cloud,Cloud Engineer
6.13,7,8,6,3,AI,AI Engineer
6.35,8,7,1,2,Web,Web Developer
7.5,9,1,5,3,Data Science,Data Scientist
7.21,3,9,1,1,Web,Web Developer
9.85,9,3,9,3,Web,Web Developer
5.57,4,10,7,0,Cyber,Cyber Security
7.61,9,5,0,0,AI,AI Engineer
5.83,6,6,4,1,AI,AI Engineer
6.79,4,5,2,5,AI,AI Engineer
7.49,6,6,1,1,Data Science,Data Scientist
8.27,7,1,1,0,Web,Web Developer
9.78,5,10,10,2,AI,AI Engineer
5.78,6,2,3,1,Cyber,Cyber Security
5.93,2,1,4,4,Data Science,Data Scientist
9.77,8,5,5,1,Cyber,Cyber Security
6.0,2,9,6,0,Cloud,Cloud Engineer
8.26,9,10,10,1,AI,AI Engineer
9.77,4,2,4,2,Cyber,Cyber Security
7.43,1,4,5,2,AI,AI Engineer
6.77,6,6,3,1,Data Science,Data Scientist
5.72,3,8,2,5,Data Science,Data Scientist
6.84,9,10,3,4,Cloud,Cloud Engineer
7.93,9,6,2,0,AI,AI Engineer
7.49,7,5,1,0,Web,Web Developer
8.63,5,6,7,3,Data Science,Data Scientist
8.0,7,3,0,4,Cyber,Cyber Security
7.2,1,2,7,3,Cloud,Cloud Engineer
7.65,8,1,8,4,Data Science,Data Scientist
6.49,5,2,2,4,Data Science,Data Scientist
9.5,9,1,3,4,Cloud,Cloud Engineer
6.69,4,1,0,2,Web,Web Developer
8.68,8,1,2,0,Web,Web Developer
8.92,9,4,6,2,Web,Web Developer
7.99,6,4,9,5,Data Science,Data Scientist
9.87,9,6,5,3,Cloud,Cloud Engineer
7.87,1,2,2,0,Cyber,Cyber Security
6.57,4,7,9,2,Data Science,Data Scientist
5.64,9,8,2,2,Data Science,Data Scientist
8.46,10,6,0,5,Data Science,Data Scientist
9.01,1,1,6,4,Data Science,Data Scientist
7.7,8,5,1,4,AI,AI Engineer
5.73,10,9,1,4,Cloud,Cloud Engineer
9.19,10,7,4,3,Cloud,Cloud Engineer
7.56,10,7,3,2,Cyber,Cyber Security
7.5,3,6,8,0,Cloud,Cloud Engineer
6.9,1,4,0,0,AI,AI Engineer
9.73,1,1,5,1,Data Science,Data Scientist
5.83,8,3,3,3,Web,Web Developer
8.88,2,9,3,1,Cyber,Cyber Security
6.45,5,2,2,5,Cyber,Cyber Security
5.86,5,8,3,4,Data Science,Data Scientist
6.41,4,7,8,4,AI,AI Engineer
7.28,3,7,6,0,Data Science,Data Scientist
8.37,4,9,1,5,AI,AI Engineer
6.67,1,2,10,4,Web,Web Developer
8.76,3,7,3,3,Data Science,Data Scientist
9.63,1,2,6,5,Web,Web Developer
7.87,9,3,10,0,Web,Web Developer
9.24,10,1,6,0,AI,AI Engineer
8.96,2,5,6,5,Web,Web Developer
6.06,7,7,5,5,Cyber,Cyber Security
8.34,9,5,1,4,Data Science,Data Scientist
8.59,8,7,3,2,Data Science,Data Scientist
8.67,1,6,2,0,Web,Web Developer
7.9,8,3,3,2,AI,AI Engineer
8.76,2,2,4,0,Web,Web Developer
6.49,4,8,6,5,Web,Web Developer
7.39,6,6,9,1,Web,Web Developer
7.38,2,8,6,5,Cyber,Cyber Security
6.13,1,9,3,3,Cyber,Cyber Security
5.85,4,8,7,4,AI,AI Engineer
8.21,3,7,10,1,AI,AI Engineer
7.34,9,1,3,4,Cyber,Cyber Security
7.82,4,9,2,5,Cloud,Cloud Engineer
5.58,9,9,10,5,Data Science,Data Scientist
9.91,9,3,2,5,AI,AI Engineer
5.9,9,9,3,0,Web,Web Developer
6.46,6,9,2,4,Cyber,Cyber Security
9.03,9,5,2,3,AI,AI Engineer
6.55,10,7,1,0,AI,AI Engineer
8.99,10,4,3,5,Web,Web Developer
6.18,6,9,0,1,Web,Web Developer
6.52,7,6,9,1,AI,AI Engineer
8.43,7,3,3,2,AI,AI Engineer
5.56,7,8,2,0,Cyber,Cyber Security
9.82,10,6,10,0,Cloud,Cloud Engineer
6.36,9,3,0,2,Web,Web Developer
8.55,1,8,3,2,Cyber,Cyber Security
6.01,8,10,3,1,Data Science,Data Scientist
8.17,8,7,7,3,Cloud,Cloud Engineer
6.53,7,4,10,2,Cloud,Cloud Engineer
8.41,7,1,1,3,AI,AI Engineer
8.37,7,1,0,0,Data Science,Data Scientist
6.25,2,3,3,2,Cloud,Cloud Engineer
8.62,9,6,1,3,Cloud,Cloud Engineer
7.31,7,10,10,0,Cyber,Cyber Security
6.3,8,1,10,1,Cloud,Cloud Engineer
8.73,9,2,7,5,AI,AI Engineer
9.8,7,1,4,4,Cloud,Cloud Engineer
9.94,8,4,9,3,Cyber,Cyber Security
9.08,8,3,8,0,Web,Web Developer
9.02,3,6,2,0,AI,AI Engineer
9.6,6,8,4,1,Data Science,Data Scientist
6.69,10,2,7,3,AI,AI Engineer
6.65,4,10,9,3,Data Science,Data Scientist
7.86,10,2,9,5,Cyber,Cyber Security
5.93,1,10,6,5,Cyber,Cyber Security
8.09,3,7,9,5,Web,Web Developer
6.42,10,4,4,5,AI,AI Engineer
7.25,1,2,8,2,Data Science,Data Scientist
8.36,8,3,9,4,Web,Web Developer
8.52,7,7,2,4,Web,Web Developer
8.05,8,4,5,5,Cloud,Cloud Engineer
5.88,8,9,0,4,Web,Web Developer
7.13,7,9,1,3,Data Science,Data Scientist
9.65,2,1,7,5,Data Science,Data Scientist
8.07,10,5,5,1,Web,Web Developer
9.78,6,4,9,2,Cloud,Cloud Engineer
9.26,2,5,3,2,Web,Web Developer
6.41,9,3,0,2,Data Science,Data Scientist
8.91,2,7,4,1,Web,Web Developer
5.95,1,8,7,4,Web,Web Developer
9.24,5,10,10,1,Cyber,Cyber Security
7.79,5,7,1,3,AI,AI Engineer
8.92,9,6,9,0,Cloud,Cloud Engineer
6.83,4,8,7,5,AI,AI Engineer
9.79,4,9,8,1,Cyber,Cyber Security
9.57,5,8,4,4,AI,AI Engineer
9.39,3,3,5,5,AI,AI Engineer
7.67,8,3,4,5,Data Science,Data Scientist
8.42,9,6,5,1,Cloud,Cloud Engineer
7.12,10,3,10,1,Data Science,Data Scientist
8.16,7,7,10,0,Web,Web Developer
8.18,9,8,4,4,AI,AI Engineer
7.09,2,5,10,1,Cloud,Cloud Engineer
8.23,1,10,2,3,Data Science,Data Scientist
8.63,1,3,6,2,Web,Web Developer
9.4,6,7,10,3,Data Science,Data Scientist
7.0,9,5,5,4,Data Science,Data Scientist
9.68,5,8,3,5,Cloud,Cloud Engineer
8.4,5,2,6,5,Data Science,Data Scientist
8.39,6,4,1,4,Web,Web Developer
7.98,5,9,6,5,Cyber,Cyber Security
8.26,9,8,6,0,Web,Web Developer
8.49,10,8,10,4,Cyber,Cyber Security
5.99,10,4,9,4,Web,Web Developer
8.8,10,1,5,4,Cyber,Cyber Security
6.57,5,2,9,4,Cloud,Cloud Engineer
8.83,8,6,8,2,Web,Web Developer
7.05,8,9,7,1,Web,Web Developer
9.87,7,3,3,4,Cyber,Cyber Security
7.96,3,9,9,1,Cloud,Cloud Engineer
8.02,10,10,5,3,Cyber,Cyber Security
8.42,7,10,0,2,Cyber,Cyber Security
8.01,2,4,1,2,Data Science,Data Scientist
6.85,4,8,0,3,Web,Web Developer
7.38,3,7,4,1,AI,AI Engineer
5.69,10,4,9,0,Data Science,Data Scientist
9.89,3,1,1,0,AI,AI Engineer
5.94,4,7,10,4,Cloud,Cloud Engineer
5.56,2,1,4,3,Web,Web Developer
7.59,2,6,8,5,Cloud,Cloud Engineer
8.55,5,6,2,5,Cyber,Cyber Security
9.39,9,10,9,2,Cloud,Cloud Engineer
8.81,10,5,8,4,Web,Web Developer
6.43,7,4,3,5,Data Science,Data Scientist
8.84,9,9,9,3,Cloud,Cloud Engineer
7.2,8,7,9,5,Web,Web Developer
9.14,5,2,1,1,Web,Web Developer
9.4,1,7,5,4,AI,AI Engineer
8.15,6,6,3,0,Cloud,Cloud Engineer
6.17,7,8,5,3,AI,AI Engineer
6.63,7,6,1,1,Cyber,Cyber Security
9.32,7,3,5,2,Cloud,Cloud Engineer
9.25,10,2,8,5,AI,AI Engineer
7.54,5,1,4,0,Cloud,Cloud Engineer
7.38,10,10,1,3,AI,AI Engineer
5.98,6,6,1,3,Web,Web Developer
7.99,1,7,10,4,Data Science,Data Scientist
6.12,6,3,1,4,AI,AI Engineer
8.84,1,9,10,2,Cyber,Cyber Security
7.85,2,3,0,4,Web,Web Developer
9.03,6,7,8,0,Data Science,Data Scientist
6.55,1,4,3,5,Cloud,Cloud Engineer
8.63,8,2,9,5,Cloud,Cloud Engineer
6.31,10,8,10,2,Cloud,Cloud Engineer
7.55,2,10,8,5,Data Science,Data Scientist
7.62,9,10,8,4,Web,Web Developer
6.26,9,8,7,2,Data Science,Data Scientist
7.18,4,8,1,0,Data Science,Data Scientist
7.27,9,1,3,2,Cyber,Cyber Security
6.19,5,6,5,4,Web,Web Developer
7.22,1,3,6,2,AI,AI Engineer
8.07,7,5,10,0,AI,AI Engineer
7.97,4,4,5,0,Data Science,Data Scientist
8.32,5,1,7,5,Cloud,Cloud Engineer
8.22,5,6,6,0,Data Science,Data Scientist
8.13,10,9,0,1,Web,Web Developer
8.2,7,3,4,3,AI,AI Engineer
9.73,9,6,2,5,AI,AI Engineer
8.77,9,4,10,2,Data Science,Data Scientist
9.04,8,10,2,1,AI,AI Engineer
7.17,4,4,1,4,AI,AI Engineer
9.86,7,1,3,2,Cyber,Cyber Security
6.05,6,4,3,2,Web,Web Developer
7.49,5,5,4,0,Cloud,Cloud Engineer
7.27,5,5,6,0,Data Science,Data Scientist
7.32,7,9,4,1,Cloud,Cloud Engineer
9.38,6,8,4,1,Cyber,Cyber Security
8.67,2,9,0,2,AI,AI Engineer
8.0,2,7,8,0,Data Science,Data Scientist
8.05,6,7,9,1,Data Science,Data Scientist
6.13,7,2,0,0,Web,Web Developer
8.29,9,4,3,5,AI,AI Engineer
9.87,5,4,0,0,AI,AI Engineer
9.53,6,8,9,2,Cloud,Cloud Engineer
7.4,9,1,9,4,Web,Web Developer
7.14,2,4,10,1,Web,Web Developer
9.16,1,9,4,0,Web,Web Developer
8.88,2,3,1,3,Cyber,Cyber Security
9.05,7,5,1,0,Web,Web Developer
9.98,9,6,7,1,Cloud,Cloud Engineer
6.04,2,5,6,2,Cloud,Cloud Engineer
5.96,7,2,5,5,Web,Web Developer
6.35,4,8,10,5,AI,AI Engineer
7.88,1,3,9,0,Web,Web Developer
5.86,8,6,9,2,Cloud,Cloud Engineer
9.76,8,9,3,0,Cloud,Cloud Engineer
6.53,2,2,6,4,AI,AI Engineer
8.92,4,9,8,0,Cloud,Cloud Engineer
7.84,6,4,9,1,Cyber,Cyber Security
6.52,2,9,5,0,AI,AI Engineer
9.36,5,7,2,0,AI,AI Engineer
9.41,1,3,7,4,Cyber,Cyber Security
8.92,9,8,7,0,Web,Web Developer
6.73,9,6,0,1,Web,Web Developer
6.67,6,8,2,0,Cyber,Cyber Security
7.99,8,3,8,0,Web,Web Developer
8.52,9,6,5,3,AI,AI Engineer
8.75,6,4,8,0,AI,AI Engineer
9.51,7,8,5,4,AI,AI Engineer
9.06,9,2,7,4,Web,Web Developer
8.49,7,5,7,2,AI,AI Engineer
7.49,3,1,5,0,Cloud,Cloud Engineer
6.48,10,10,10,0,AI,AI Engineer
7.95,2,4,1,0,Cyber,Cyber Security
8.46,8,4,5,4,Web,Web Developer
9.03,8,2,2,0,Cyber,Cyber Security
9.85,1,3,3,3,Data Science,Data Scientist
6.74,9,4,8,3,Cyber,Cyber Security
7.38,3,2,6,3,Web,Web Developer
7.43,2,7,8,2,Data Science,Data Scientist
8.48,6,1,8,4,Cloud,Cloud Engineer
6.15,1,6,9,2,Web,Web Developer
9.12,4,4,9,3,Web,Web Developer
7.16,2,9,7,3,Cyber,Cyber Security
5.64,4,4,1,2,Data Science,Data Scientist
9.43,9,1,9,1,Cloud,Cloud Engineer
7.44,8,7,4,2,AI,AI Engineer
8.47,2,2,5,2,AI,AI Engineer
